Thermodynamics | L-09 | Adiabatic Process : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4484962/175275651925655908244/175275651925655908244_5908244.m3u8
Thermodynamics | L-10 | Second Law of Thermodynamics : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_drm_dash/4486809/175292944757135384965/175292944757135384965_5384965_Dash.mpd?#keysV1=4P5fA9Wg-39gyd3NW_a4X6-B_IsERC6pq9TnhyQPckwvZ7n6nVzQHrpPjLAp9OvQc6QR1jPdskw1DTyT1uagi-by4evzXcR5iHmMdxcI0oUR4UH_FnXZcTAA4-KeMB34Xe8-P-nVa379D1s-ICqp5hwVVAfT6w3p5ODl_Y-nGM6P1v6KBj0rMdZkXi1rJiAnLR0oyFGBzy6RgRwTYv8Fp5hbwd1kFNkOeSBNIGa1PdMMuWGiPDXrQynWUQ3lY2liAKnkXwtbPb7jVxBADtZ88TztEzVJmgWqkbRaYuH9W2__SQamnUu1TAkux-1kfPkuZfg_gmZVXE3sRn0WlzUAo6T6jYoIA8vRvKKdftFGblRKG-6JwzWfDpC-WtWawC3X
Thermodynamics | L-11 | Second Law of Thermodynamics : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4489689/175318859172285908244/175318859172285908244_5908244.m3u8
Thermodynamics | L-12 | Entropy Change in Reactions and Process : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4492757/175336161668373664730/175336161668373664730_3664730.m3u8
Thermodynamics | L-13 | Entropy Change Calculation : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4495217/175353409751081761844/175353409751081761844_1761844.m3u8
Thermodynamics | L-14 | Gibb's Free Energy : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4503182/175379339243065908244/175379339243065908244_5908244.m3u8
Thermodynamics | L-15 | Gibb's Energy and Basic Idea of Thermochemistry : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4505546/175396603044103664730/175396603044103664730_3664730.m3u8
Thermochemistry | L-01 | Types of Enthalpy of Reaction : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4511235/175413879213815384965/175413879213815384965_5384965.m3u8
JEE 12th A2 Batch | Test Syllabus (JEE MAIN) : https://educp.crwilladmin.com/uploads/class-attachment/lclsys_Test_Syllabus_A2.pdf
JEE 12th A2 Batch | Test Schedule : https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/6874c57e43bb0_Test_Schedule_A2.pdf
JEE 12th A2 BATCH | Class Schedule : https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/687dff15f33e8_A2_Time_Table.pdf
JEE 12th A2 Batch | Academic Planner : https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/684987103088e_Planner_12th_A2.pdf
JEE Advance Test - 02 (Paper -01) | Answer key & Solution Explanation | 20-July-2025 : https://educp.crwilladmin.com/uploads/class-attachment/lclsys_Careerwill_XII_JEE_Advanced_Test2_XII_200725_With_Answer_Solution.pdf
Current Electricity | L-06 (class Notes) | Potentiometer : https://educp.crwilladmin.com/uploads/class-attachment/lclsys_NJ_Sir_Physics_12th_Current_Electricity_Lecture06_compressed1.pdf
Current Electricity | L-05 (Class Notes) | Electrical Instruments : https://educp.crwilladmin.com/uploads/class-attachment/lclsys_NJ_Sir_Physics_12th_Current_Electricity_Lecture05_compressed1.pdf
Current Electricity | L-04 (Class Notes) | Kirchhoff's Law : https://educp.crwilladmin.com/uploads/class-attachment/lclsys_NJ_Sir_Physics_12th_Current_Electricity_Lecture04_compressed1.pdf
Current Electricity | L-03 (Class Notes) | Kirchhoff's Law : https://educp.crwilladmin.com/uploads/class-attachment/lclsys_NJ_Sir_Physics_12th_Current_Electricity_Lecture03_compressed1.pdf
