(Course Information and Syllabus) Live Interaction With Akshay Sir and Team || 11 February : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/2451536/plain/720x1280.mp4
(राजस्थान कला और संस्कृति राजेश  सर ) Part-1 || चित्रकला शैली || 11-September : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/2270285/plain/720x1280.mp4
(राजस्थान कला और संस्कृति राजेश  सर ) Part-2 || चित्रकला शैली || 12-September : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/2271929/plain/720x1280.mp4
(राजस्थान कला और संस्कृति राजेश  सर ) Part-3 || चित्रकला शैली || 14-September : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/2274863/plain/720x1280.mp4
(राजस्थान कला और संस्कृति राजेश  सर ) Part-4 || चित्रकला शैली || 16-September : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/2276377/plain/720x1280.mp4
(राजव्यवस्था (Polity) - विक्रम सर) Part-1 || पाठ्यक्रम परिचर्चा || 11-September : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/2270283/plain/720x1280.mp4
(राजव्यवस्था (Polity) - विक्रम सर) Part-1 || संविधान की प्रस्तावना || 12-September : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/2271927/plain/720x1280.mp4
(राजव्यवस्था (Polity) - विक्रम सर) Part-2 || संविधान की प्रस्तावना || 14-September : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/2274861/plain/720x1280.mp4
(Reasoning - Dinesh Choudhary Sir) Part-1 || पाठ्यक्रम परिचर्चा ||10-June : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/2154353/plain/720x1280.mp4
(Reasoning - Dinesh Choudhary Sir) Part-1 || आकृति गणना ||11-June : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/2155104/plain/720x1280.mp4
(Reasoning - Dinesh Choudhary Sir) Part-2 || आकृति गणना || 12-Junee : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/2156443/plain/720x1280.mp4
(Reasoning - Dinesh Choudhary Sir) Part-3 || आकृति गणना || 13-June : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/2157895/plain/720x1280.mp4
(Reasoning - Dinesh Choudhary Sir) Part-1 || वर्णमाला परीक्षण  || 14-June : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/2159261/plain/720x1280.mp4
(Reasoning - Dinesh Choudhary Sir) Part-2 || वर्णमाला परीक्षण  || 15-June : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/2160694/plain/720x1280.mp4
(Reasoning - Dinesh Choudhary Sir) Part-3 || वर्णमाला परीक्षण || 18-June : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/2163059/plain/720x1280.mp4
(Reasoning - Dinesh Choudhary Sir) Part-1 || Coding decoding || 19-June : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/2163968/plain/720x1280.mp4
(Reasoning - Dinesh Choudhary Sir) Part-2 || Coding decoding || 20-June : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/2165400/plain/720x1280.mp4
(Reasoning - Dinesh Choudhary Sir) Part-1 || Ranking Test || 17-January : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/2421550/plain/720x1280.mp4
(Reasoning - Dinesh Choudhary Sir) Part-2 || Ranking Test || 17-January : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/2421551/plain/720x1280.mp4
(Reasoning - Dinesh Choudhary Sir) Part-1 || Direction || 18-January : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/2422952/plain/720x1280.mp4
(Reasoning - Dinesh Choudhary Sir) Part-2 || Direction || 18-January : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/2422953/plain/720x1280.mp4
(Reasoning - Dinesh Choudhary Sir) Part-1 || Blood Relation || 18-January : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/2422954/plain/720x1280.mp4
(Reasoning - Dinesh Choudhary Sir) Part-2 || Blood Relation || 20-January : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/2425207/plain/720x1280.mp4
(Reasoning - Dinesh Choudhary Sir) Part-1 || Analogy and Similarity || 20-January : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/2425209/plain/720x1280.mp4
(Reasoning - Dinesh Choudhary Sir) Part-2 || Analogy and Similarity || 21-January : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/2426115/plain/720x1280.mp4
(Reasoning - Dinesh Choudhary Sir) Part-1 || Number Series || 21-January : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/2426116/plain/720x1280.mp4
(Reasoning - Dinesh Choudhary Sir) Part-2 || Number Series || 22-January : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/2427700/plain/720x1280.mp4
(Reasoning - Dinesh Choudhary Sir) Part-3 || Number Series || 22-January : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/2427701/plain/720x1280.mp4
