[MAZA-4] Botany | L-13 | Molecular Basis of Inheritance : https://www.youtube.com/embed/fAWJ9mLEPHg
[MAZA-4] Botany | L-14 | Molecular Basis of Inheritance : https://www.youtube.com/embed/Co1AouLK_pA
[MAZA-4] Botany | L-15 | Molecular Basis of Inheritance : https://www.youtube.com/embed/DiBxly7ZEZo
[MAZA-4] Botany | L-16 | Molecular Basis of Inheritance : https://www.youtube.com/embed/_pZmY1l-sqY
[MAZA-4] Botany | L-17 | Molecular Basis of Inheritance : https://www.youtube.com/embed/zJdtMSr6hhc
[MAZA-4] Botany | L-18 | Molecular Basis of Inheritance : https://www.youtube.com/embed/0Q5cVZEiVZo
[MAZA-4] Botany | L-19 | Molecular Basis of Inheritance : https://www.youtube.com/embed/VddN65DY-RU
[MAZA-4] Physical Chem | L-01 | Chemical Kinetics : https://www.youtube.com/embed/1aJKNnXwft8
[MAZA-4] Physical Chem | L-02 | Chemical Kinetics : https://www.youtube.com/embed/TRKb0Pf54qY
[MAZA-4] Physical Chem | L-03 | Chemical Kinetics : https://www.youtube.com/embed/oNhpOPhcXBo
[MAZA-4] Physical Chem | L-04 | Chemical Kinetics : https://www.youtube.com/embed/jnvQ_jzpBsw
[MAZA-4] Physical Chem | L-05 | Chemical Kinetics : https://www.youtube.com/embed/yLyKbWP-4SU
[MAZA-4] Physical Chem | L-06 | Chemical Kinetics : https://www.youtube.com/embed/MIJIoQwbxOs
[MAZA-4] Physical Chem | L-07 | Chemical Kinetics : https://www.youtube.com/embed/IUWzEQA5Xss
[MAZA-4] Physical Chem | L-08 | Chemical Kinetics : https://www.youtube.com/embed/1g_SHEZ8e2s
[MAZA-4] Physical Chem | L-09 | Chemical Kinetics : https://www.youtube.com/embed/lUqCKFeNFBU
[MAZA-4] Physical Chem | L-10 | Chemical Kinetics : https://www.youtube.com/embed/dJVUaRrREss
[MAZA-4] Physical Chem | L-11 | Chemical Kinetics : https://www.youtube.com/embed/5R5lA52DAN8
[MAZA-4] Physical Chem | L-12 | Chemical Kinetics : https://www.youtube.com/embed/d984oGi9WXI
[MAZA-4] Physical Chem | L-01 | Solution : https://www.youtube.com/embed/J5E8QaYM5Q0
[MAZA-4] Physical Chem | L-02 | Solution : https://www.youtube.com/embed/N1Q4EoOp920
[MAZA-4] Physical Chem | L-03 | Solution : https://www.youtube.com/embed/hnYqRu4spBI
[MAZA-4] Physical Chem | L-04 | Solution : https://www.youtube.com/embed/GcQIGx7M0Vo
[MAZA-4] Physical Chem | L-05 | Solution : https://www.youtube.com/embed/4r28woqZ_1o
[MAZA-4] Physical Chem | L-06 | Solution : https://www.youtube.com/embed/oI94e_dsp8w
[MAZA-4] Physical Chem | L-07 | Solution : https://www.youtube.com/embed/wmxknsiyuNI
[MAZA-5] Physics | L-01 | Electrostatics : https://www.youtube.com/embed/YKg7s4nnAFw
[MAZA-5] Physics | L-02 | Electrostatics : https://www.youtube.com/embed/Hp8lTlQ0Bww
[MAZA-5] Physics | L-03 | Electrostatics : https://www.youtube.com/embed/OGvsiFvCowA
[MAZA-5] Physics | L-04 | Electrostatics : https://www.youtube.com/embed/1wiQR_TQ8s8
[MAZA-5] Physics | L-05 | Electrostatics : https://www.youtube.com/embed/0fMPaBUiJfs
[MAZA-5] Physics | L-06 | Electrostatics : https://www.youtube.com/embed/MhpwXW51YvY
