[पादप जगत] - Part-1 || पादप जगत || 17-May : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/5eEHYeSussa/video.m3u8
[वर्णमाला] - Part-1 ||  वर्णमाला || 22-April : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/AnANAbxEfuX/video.m3u8
[वर्णमाला] - Part-2 ||  वर्णमाला || 23-April : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/BqeY57C6ZHB/video.m3u8
[वर्णमाला] - Part-3 ||  वर्णमाला || 24-April : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/6E8ryT4uy4H/video.m3u8
[वर्णमाला] - Part-4 ||  वर्णमाला || 25-April : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/Aadn7G5YdeE/video.m3u8
[संधि] - Part-1 || संधि || 26-April : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/89BGYZ5MzJs/video.m3u8
[संधि] - Part-2 || संधि || 28-April : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/3jSSbtCXx6h/video.m3u8
[संधि] - Part-3 || संधि || 29-April : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/8YJPhdpPqYf/video.m3u8
[संधि] - Part-4 || संधि || 30-April : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/Ahn58G5S2bb/video.m3u8
[संधि] - Part-5 || संधि || 01-May : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/7RZRYSJ5ub8/video.m3u8
[संधि] - Part-6 || संधि || 02-May : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/BufphkgkAet/video.m3u8
[उपसर्ग] - Part-1 || उपसर्ग || 03-May : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/4SPFXxG95C5/video.m3u8
[उपसर्ग] - Part-2 || उपसर्ग || 06-May : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/6mEr9bZZm7K/video.m3u8
[प्रत्यय] - Part-1 || प्रत्यय || 13-May : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/AqyFsp5uQAc/video.m3u8
[प्रत्यय] - Part-2 || प्रत्यय || 14-May : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/AjArdQEmMFa/video.m3u8
[प्रत्यय] - Part-3 || प्रत्यय || 15-May : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/5ytNYdFAXUX/video.m3u8
[प्रत्यय] - Part-4 || प्रत्यय || 16-May : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/ADeZ6CJg7GP/video.m3u8
[प्रत्यय] - Part-5 || प्रत्यय || 17-May : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/6qaGjJsetH8/video.m3u8
[Exam Syllabus] - Exam Syllabus || UP Sub Inspector : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/417395095125883600_PDF.pdf
[Introduction] - Part-1 || Introduction || 25-March : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/380363608618474240_video_2501592.pdf
[Introduction] - Part-2 || Introduction || 26-March : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/400089341575789800_PDF.pdf
[Introduction] - Part-3 || Introduction || 01-April : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/468209674036265400_video_2506731.pdf
[Introduction] - Part-4 || Introduction || 02-April : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/273504275473188480_PDF.pdf
[Introduction] - Part-5 || Introduction || 03-April : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/708430321924126600_PDF.pdf
[Coding Decoding] - Part-1 || Coding Decoding || 04-April : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/797603247046609400_PDF.pdf
[Coding Decoding] - Part-2 || Coding Decoding || 05-April : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/95193220823556370_PDF.pdf
[Coding Decoding] - Part-3 || Coding Decoding || 07-April : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/534177613621638600_PDF.pdf
[Coding Decoding] - Part-4 || Coding Decoding || 08-April : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/678867060583085400_PDF.pdf
[Calendar] - Part-1 || Calendar || 09-April : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/684613891687483600_PDF.pdf
[Calendar] - Part-2 || Calendar || 10-April : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/481506235230844540_PDF.pdf
[Calendar] - Part-3 || Calendar || 11-April : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/705547231969312400_PDF.pdf
[Calendar] - Part-4 || Calendar || 12-April : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/178985137360519360_video_2520964.pdf
[Calendar] - Part-5 || Calendar || 14-April : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/433441098477382300_PDF.pdf
[Calendar] - Part-6 || Calendar || 15-April : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/148885260452308670_PDF.pdf
[Calendar] - Part-7 || Calendar || 16-April : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/153416907550758200_PDF.pdf
[Number Series] - Part-1 || Number Series || 17-April : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/805372159319188400_PDF.pdf
[Number Series] - Part-2 || Number Series || 18-April : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/547963446830387460_PDF.pdf
[Number Series] - Part-3 || Number Series || 21-April : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/605633595477554800_PDF.pdf
[Number Series] - Part-4 || Number Series || 22-April : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/59783954560406584_PDF.pdf
[Number Series] - Part-5 || Number Series || 23-April : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/761782357527156400_PDF.pdf
[Analogy And Similarity] - Part-1 || Analogy & Similarity || 24-April : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/507336076262526600_PDF.pdf
[Analogy And Similarity] - Part-2 ||  Analogy & Similarity || 25-April : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/800112070365258600_PDF.pdf
[रक्त संबंध (Blood Relation)] - Part-1 ||  Blood relation || 28-April : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/71900037566699060_PDF.pdf
[रक्त संबंध (Blood Relation)] - Part-2 ||  Blood relation || 29-April : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/199918814774487420_PDF.pdf
[रक्त संबंध (Blood Relation)] - Part-3 || Blood relation || 30-April : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/174203089294612770_PDF.pdf
